Acquisition Time[ms], ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, 
0.000,-0.921903,0.042482,-0.362804,-0.478286,0.005860,-0.877224,
0.999,-0.921903,0.039552,-0.360362,-0.477798,0.006836,-0.877712,
0.998,-0.921903,0.039552,-0.350597,-0.477798,0.006836,-0.877712,
0.000,-0.921903,0.041993,-0.350597,-0.484390,0.008545,-0.879665,
1.002,-0.937528,0.045900,-0.352550,-0.475844,0.010010,-0.876735,
0.999,-0.937528,0.045900,-0.360118,-0.484390,0.010010,-0.876735,
1.018,-0.937528,0.045900,-0.360118,-0.484390,0.010010,-0.875515,
0.000,-0.937528,0.041993,-0.359386,-0.484390,0.012452,-0.875026,
1.004,-0.906338,0.039552,-0.343821,-0.484390,0.012452,-0.015625,
0.000,-0.906338,0.039552,-0.357188,-0.484390,0.013428,-0.877468,
0.980,-0.921903,0.041749,-0.358409,-0.478286,0.012940,-0.875759,
1.089,-0.921903,0.043947,-0.360362,-0.484390,0.012940,-0.875759,
0.000,-0.921903,0.043947,-0.360362,-0.479507,0.013672,-0.877712,
0.924,-0.921903,0.041749,-0.356456,-0.476333,0.012696,-0.878444,
1.038,-0.921903,0.039552,-0.357677,-0.476333,0.012696,-0.873073,
0.966,-0.921903,0.039552,-0.357677,-0.473159,0.010743,-0.873073,
0.000,-0.921903,0.039552,-0.357677,-0.479751,0.010254,-0.875026,
1.008,0.000000,0.043947,-0.359142,-0.483169,0.010743,-0.879177,
0.000,-0.921903,0.043947,-0.359142,-0.483169,0.010743,-0.879177,
0.992,-0.937528,0.043458,-0.358165,-0.484390,0.011231,-0.880398,
1.014,-0.937528,0.044923,-0.358898,-0.481948,0.013184,-0.878689,
0.000,-0.937528,0.044923,-0.358898,-0.481948,0.013184,-0.878689,
0.986,-0.921903,0.046876,-0.363536,-0.484390,0.014405,-0.879177,
1.010,-0.921903,0.043214,-0.365734,-0.484390,0.015625,-0.880398,
0.000,-0.921903,0.043214,-0.365734,-0.472426,0.015625,-0.880398,
0.990,-0.921903,0.041505,-0.361827,-0.475356,0.010987,-0.876980,
1.009,-0.921903,0.041749,-0.364513,-0.484390,0.010254,-0.872829,
